eng,deu,eng_google,deu_google
"To José Manuel Durão Barroso and Javier Solana I offer my most sincere felicitations, and to Bertie Ahern and his colleagues my very warmest thanks.",José Manuel Durão Barroso und Javier Solana beglückwünsche ich von ganzem Herzen und möchte abschließend noch einmal Bertie Ahern und seinen Mitarbeitern meinen herzlichsten Dank aussprechen.,"I offer my heartfelt congratulations to José Manuel Durão Barroso and Javier Solana and, finally, I would like to express my sincere thanks once again to Bertie Ahern and his staff.",José Manuel Durão Barroso und Javier Solana möchte ich meine aufrichtigsten Glückwünsche aussprechen und Bertie Ahern und seinen Kollegen meinen herzlichsten Dank.
The payout is 5-to-1 on each pair.,Die Auszahlung erfolgt 5-zu-1 für jedes Paar.,The payout is 5-to-1 for each pair.,Die Auszahlung beträgt für jedes Paar 5:1.
More than 400 leading DTP personnel have been arrested for requesting a solution to the Kurdish question.,"Mehr als 400 führende Vertreter der DTP wurden verhaftet, weil sie eine Lösung der Kurdenfrage verlangten.",More than 400 leading representatives of the DTP were arrested for demanding a solution to the Kurdish question.,"Mehr als 400 führende DTP-Mitarbeiter wurden verhaftet, weil sie eine Lösung der Kurdenfrage forderten."
Despite everything customers can ask by simple mail the network PW-Est (see useful addresses) not to receive information apart from those concerning its orders.,"Die Kunden können trotz allem durch einfaches mail vom Eigentümer des Geschäftes verlangen (siehe nützliche Adressen), keine Informationen außer jenen zu erhalten, was seine Aufträge betrifft.","However, customers can request, by simply sending an email to the store owner (see useful addresses), that they not receive any information other than that concerning their orders.","Trotz allem können Kunden per einfacher E-Mail das Netzwerk PW-Est (siehe nützliche Adressen) bitten, keine anderen Informationen als diejenigen zu ihren Bestellungen zu erhalten."
ACL’s OR-PCs will make a believer out of you with its superior quality and exemplary ergonomics.,ACL-Produkte überzeugen durch ihre herausragende Qualität und Ergonomie.,ACL products impress with their outstanding quality and ergonomics.,Die OR-PCs von ACL werden Sie mit ihrer überragenden Qualität und vorbildlichen Ergonomie überzeugen.
But the harmful psychological effects that abortions have on women are deliberately and constantly concealed.,"Diese negativen psychologischen Folgen für Frauen, die abgetrieben haben, werden aber bewußt und immer wieder verschwiegen.","However, these negative psychological consequences for women who have had abortions are deliberately and repeatedly concealed.","Doch die schädlichen psychologischen Auswirkungen, die Abtreibungen auf Frauen haben, werden bewusst und ständig verschwiegen."
"The Swiss can be in the European Environment Agency, if they wish, in the EU's film and education programmes, and they can apply for EU research grants.","Die Schweizer können in der Europäischen Umweltagentur tätig sein, wenn sie möchten, in den Film- und Fortbildungsprogrammen der EU, und sie können sich für EU-Forschungsstipendien bewerben.","The Swiss can work in the European Environment Agency if they wish, in the EU&#39;s film and training programs, and they can apply for EU research grants.","Die Schweizer können auf Wunsch an der Europäischen Umweltagentur teilnehmen, an den Film- und Bildungsprogrammen der EU teilnehmen und sich um EU-Forschungsstipendien bewerben."
"We all know that the basic evil of what we are now experiencing, BSE and much more, including crime, lies in this subsidy scheme.","Wir alle wissen, daß das Grundübel dessen, was wir im Moment erleben, BSE und vieles andere, auch Kriminalität, in diesem Subventionsschema liegt.","We all know that the root cause of what we are currently experiencing, BSE and much else, including crime, lies in this subsidy scheme.","Wir alle wissen, dass das Grundübel dessen, was wir derzeit erleben – BSE und vieles mehr, einschließlich Kriminalität – in diesem Subventionssystem liegt."
Alcohols and chemical UV filter substances are good penetration enhancers and can have the unfavourable property of promoting the ingress of these substances.,Alkohole und chemische UV-Filtersubstanzen sind gute Penetrationsverstärker und können somit unvorteilhaft als Gleitschiene für diese Stoffe fungieren.,Alcohols and chemical UV filter substances are good penetration enhancers and can therefore act as a disadvantageous barrier for these substances.,"Alkohole und chemische UV-Filtersubstanzen sind gute Penetrationsverstärker und können die ungünstige Eigenschaft haben, das Eindringen dieser Substanzen zu fördern."
A bus stop can be found just 80 metres from the Best Western.,In 80 Meter Entfernung finden Sie eine Bushaltestelle.,There is a bus stop 80 metres away.,Eine Bushaltestelle befindet sich nur 80 Meter vom Best Western entfernt.
"Ever since 1768, seven generations of the same family have managed to preserve the authentic character of this ’’hotel of yesteryear’’ The hotel was originally a coaching inn and is steeped in history. The many famous people who have stayed there include King Albert I, the Comte de Paris, Mistinguett, Fernandel, Fangio, ...","Seit 1768 haben es sieben Generationen einer Familie verstanden, den authentischen Charakter dieses ’’Hotels von früher’’ zu bewahren .Die mauern des Gebäudes, ursprünglich eine Postrelaisstation, sind von Geschickte geradezu durchtränkt: der belgische König Albert I, der französische Thronprätendent der Graf von Paris, die französische Varietékünstlerin Mistinguett, Fernandel, der argentinische Rennweltmeister Fangio; .u.v.a.m.","Since 1768, seven generations of a family have managed to preserve the authentic character of this &quot;hotel of the past.&quot; The walls of the building, originally a coaching inn, are steeped in history: the Belgian King Albert I, the French pretender to the throne, the Count of Paris, the French variety artist Mistinguett, Fernandel, the Argentinian racing world champion Fangio, and many more.","Seit 1768 ist es sieben Generationen derselben Familie gelungen, den authentischen Charakter dieses „Hotels von gestern“ zu bewahren. Das Hotel war ursprünglich ein Gasthof und ist reich an Geschichte. Zu den vielen berühmten Persönlichkeiten, die hier übernachtet haben, gehören König Albert I., der Graf von Paris, Mistinguett, Fernandel, Fangio, ..."
"If a local domain is configured to be an alias of an other local domain, text blocks have not or not correctly been appended to emails of these domains.","Wenn eine lokale Domain als Alias-Domain zu einer anderen Domain eingerichtet ist, wurde der Text-Zusatz bei E-Mails dieser Domains nicht oder nicht korrekt angehängt.","If a local domain is set up as an alias domain for another domain, the text extension was not appended or was not appended correctly to emails from these domains.","Wenn eine lokale Domäne als Alias einer anderen lokalen Domäne konfiguriert ist, wurden Textblöcke nicht oder nicht korrekt an E-Mails dieser Domänen angehängt."
EADS employees have bought 21.52 million shares during the last six years.,"In den vergangenen sechs Jahren erwarben EADS-Mitarbeiter insgesamt 21,52 Millionen Aktien.","Over the past six years, EADS employees acquired a total of 21.52 million shares.","EADS-Mitarbeiter haben in den letzten sechs Jahren 21,52 Millionen Aktien gekauft."
"   Mr President, needless to say, as climate spokesperson for the Socialist Group, I gladly support all my fellow Members who have expressed their concern about the present ICAO resolution.",   Herr Präsident! Als Sprecher der PSE-Fraktion in Sachen Klima teile ich selbstredend die von allen Kolleginnen und Kollegen zum Ausdruck gebrachten Besorgnisse über die vorliegende ICAO-Resolution.,"Mr President, as the PSE Group&#39;s spokesperson on climate, I naturally share the concerns expressed by all my colleagues about the current ICAO resolution.","Herr Präsident, als Klimasprecher der Sozialdemokratischen Fraktion unterstütze ich selbstverständlich gerne alle meine Kolleginnen und Kollegen, die ihre Besorgnis über die vorliegende ICAO-Resolution zum Ausdruck gebracht haben."
in writing. - (NL) The EU and the euro are in turbulent times and we need a rapid and structural resolution to the problems in Greece.,"schriftlich. - (NL) Die EU und der Euro durchlaufen turbulente Zeiten, und wir brauchen eine schnelle und strukturelle Entschließung für die Probleme in Griechenland.","in writing. - (NL) The EU and the euro are going through turbulent times, and we need a swift and structural solution to the problems in Greece.",schriftlich. – (NL) Die EU und der Euro erleben turbulente Zeiten und wir brauchen eine schnelle und strukturelle Lösung der Probleme in Griechenland.
They will be analysed and taken into consideration in the follow-up action to the Green Paper.,Sie werden geprüft und bei den Folgemaßnahmen im Zusammenhang mit dem Grünbuch berücksichtigt werden.,They will be examined and taken into account in the follow-up to the Green Paper.,Sie werden analysiert und bei den Folgemaßnahmen zum Grünbuch berücksichtigt.
